tweet_id,doc,text
1575296145701720065,doc_3149,"More 🇺🇦fun and frivolity with 🇺🇸#HIMARS

#RussiaIsLosing  #NAFO #Fellas
#UkraineRussiaWar #Anonymous #FckPutin #StandWithUkraine #PutinIsaWarCriminal 
#RussianArmy #RussianInvasion #UkraineUnderAttaсk 
#РоссияСмотри #RussiaIsATerroristState #CancelRussia https://t.co/alwfGJ9Krl"
1575287585739444224,doc_3176,"Having some fun in sharp contrast to anything shown out of Russia.
Memes abound in the comments.
#Ukraine #UkraineWar #UkrainianArmy #UkraineRussiaWar #UkraineWillWin #Russia #Russian #RussianArmy https://t.co/oY4PhtFoTi"
1575284752650731523,doc_3180,"Toddlin town 🇺🇦

#RussiaIsLosing  #NAFO #Fellas
#UkraineRussiaWar #Anonymous #FckPutin #StandWithUkraine #PutinIsaWarCriminal 
#RussianArmy #RussianInvasion #UkraineUnderAttaсk 
#РоссияСмотри #RussiaIsATerroristState #CancelRussia https://t.co/uWhvmeATt9 https://t.co/XzE399nefO"
1575282798998454272,doc_3183,"#UkraineRussiaWar #Ukraine #Russia

📍#Kucherivka have been liberated
https://t.co/HgSvKirVI5 https://t.co/UhV1y28iyk"
1575275194314260480,doc_3198,#Russians who fled #Putin's #mobilization speak out #Ukraine #UkraineWar #UkraineRussiaWar #UkraineWillWin #PutinWarCriminal #PutinsWar #RussianArmy #RussianMobilization #Russian #RussianMobilization #russianlosses #RussiaIsANaziState #russiaislosing  https://t.co/met8A65F0m
1575274171499745280,doc_3204,"After week one. #Putin's goal of forcing 300,000 Russians to fight for him is now reduced by 33%. Two more weeks of this and he will have no one available to fight for him😀😂 #UkraineRussiawar  https://t.co/67OlVuZYO8"
1575254950376275968,doc_3276,NEW: #ukraine believes #Belarus may try another #offensive in support of #Russia #UkraineRussiaWar
1575245842918871060,doc_3318,"''Old cherry garden near the house
And beetles buzzing in green leaves,
The plowers carrying their plows,
And mothers cooking supper meals.''

Grandfather Taras Shevchenko.

#SaveUkraine #UkraineRussiaWar #war #WarIsNotFunny #Taras #RussiaIsATerroristState #StopRussia #Ukraine️"
1575244149388808192,doc_3333,"#Russia 🇷🇺 / #Ukraine 🇺🇦

‼️Explosions reported also in Zaporizhzhia

#UkraineRussiaWar 
#UkraineRussianWar 
#RussianUkrainianWar"
1575228605088468992,doc_3438,"US State Department: The claim that Washington is behind the Nord Stream incident is unreasonable and part of the Russian disinformation.

#UkraineRussiaWar"
1575220890224033792,doc_3456,"🇹🇷Turkish Stars made a Airshow the Belgium skies

#ukraine #russia #ukrainewar #ukrainenews #ukrainerussiawar #russianwar #ukrainearmy #russiaarmy #todaynews #news https://t.co/o7JjtuPVS6"
1575220472928940032,doc_3457,"The report of the General Staff of the Armed Forces of Ukraine on the losses inflicted on the Armed Forces of the Russian Federation (September 28, 2022, 18:00 LT, Z+3).

#Ukraine #Ukrainewar #UkraineRussiaWar https://t.co/KCPTElznwB"
1575217265771188224,doc_3470,"With the exuberance and after the ""yes"" vote in the annexation referendums by #Russia, the die is cast. Four regions of #Ukraine under russia total or partial control... what will happen ?
#UkraineRussiaWar 
#G7 
#NATO
#USA https://t.co/c2mcy7CpjC"
1575215222691794944,doc_3480,"Russian Tank Crew Abandoning Their Vehicle While Receiving Multiple AT-4... https://t.co/MdGGlYG0mf via @YouTube 
#UkraineRussiaWar"
